"","ENTREZID","SYMBOL"
"992","16162","Il12rb2"
"993","26922","Mecr"
"994","74449","4933408M05Rik"
"995","58234","Shank3"
"996","14852","Gspt1"
"997","78537","C030005H24Rik"
"998","67789","Dalrd3"
"999","14130","Fcgr2b"
"1000","98403","Zfp451"
"1001","74018","Als2"
"1002","66471","Anp32e"
"1003","18521","Pcbp2"
"1004","67063","Pgap4"
"1005","50849","Rnf10"
"1006","18290","Ofa"
"1007","14745","Lpar1"
"1008","51960","Kctd18"
"1009","72333","Palld"
"1010","68701","Ppp1r27"
"1011","12163","Bmp8a"
"1012","234854","Cdk10"
"1013","12661","Chl1"
"1014","50794","Klf13"
"1015","23834","Cdc6"
"1016","102641516","Gm38561"
"1017","102640772","2810414N06Rik"
"1018","115486865","1700104B16Rik"
"1019","52231","Ankzf1"
"1020","72133","Trub1"
"1021","319586","Celf5"
"1022","16615","Klk1b16"
"1023","381827","1700073E17Rik"
"1024","215090","Maneal"
"1025","20639","Snrpb2"
"1026","216976","Rskr"
"1027","107976","Babam2"
"1028","380916","Lrch1"
"1029","100038689","Gm10421"
"1030","19192","Psme3"
"1031","13429","Dnm1"
"1032","18628","Per3"
"1033","319220","5430427N15Rik"
"1034","329828","Myorg"
"1035","72351","Ptar1"
"1036","67609","4930453N24Rik"
"1037","14167","Fgf12"
"1038","66931","1700010I14Rik"
